apple_integer,view,predicted_volume,scaled_predicted_volume
1,b,124.47,87.1714
1,s,126.365,88.3463
1,t,126.47,88.4114
3,b,164.24,111.8288
3,s,184.8057142857143,124.57954285714285
3,t,177.48,120.0376
4,b,284.31,186.2722
4,s,284.97,186.68140000000002
4,t,278.31,182.5522
5,b,265.0,174.3
5,s,293.6257142857143,192.04794285714286
5,t,291.64,190.8168
6,b,419.775,270.2605
6,s,452.5575,290.58565
6,t,444.09,285.3358
7,b,370.23,239.54260000000002
7,s,391.6228571428572,252.80617142857145
7,t,401.9,259.178
8,b,177.67,120.15539999999999
8,s,220.375,146.6325
8,t,198.35,132.97699999999998
9,b,275.05,180.531
9,s,336.73,218.7726
9,t,287.99,188.5538
10,b,310.6,202.572
10,s,313.8528571428572,204.58877142857148
10,t,332.95,216.429
11,b,372.61,241.0182
11,s,432.2316666666666,277.98363333333333
11,t,403.67,260.2754
12,b,189.22,127.3164
12,s,205.23142857142852,137.24348571428567
12,t,198.49,133.06380000000001
13,b,216.04,143.9448
13,s,270.10857142857145,177.4673142857143
13,t,245.77,162.3774
14,b,183.88,124.0056
14,s,187.82285714285717,126.45017142857145
14,t,185.82,125.2084
15,b,387.47,250.2314
15,s,432.9216666666667,278.4114333333333
15,t,404.09,260.5358
16,b,240.23,158.9426
16,s,255.814,168.60468
16,t,283.24,185.6088
17,b,253.51,167.1762
17,s,318.46875,207.450625
17,t,290.69,190.2278
18,b,224.88,149.4256
18,s,245.07833333333332,161.94856666666666
18,t,235.76,156.1712
19,b,254.46,167.7652
19,s,267.65125,175.943775
19,t,271.83,178.53459999999998
20,b,203.305,136.0491
20,s,226.32,150.3184
20,t,192.485,129.34070000000003
21,b,312.525,203.76549999999997
21,s,318.7005882352941,207.59436470588236
21,t,333.635,216.8537
22,b,182.2,122.964
22,s,188.92222222222225,127.13177777777778
22,t,184.09,124.1358
23,b,260.2,171.32399999999998
23,s,269.34857142857146,176.9961142857143
23,t,306.5,200.03
24,b,212.99,142.0538
24,s,240.79625,159.29367499999998
24,t,231.29,153.3998
25,b,256.08,168.7696
25,s,278.93857142857144,182.9419142857143
25,t,282.41,185.0942
26,b,174.19,117.9978
26,s,185.54,125.03479999999999
26,t,189.82,127.6884
27,b,324.99,211.4938
27,s,338.3742857142857,219.79205714285712
27,t,367.46,237.8252
28,b,254.61,167.8582
28,s,271.49142857142857,178.32468571428572
28,t,279.13,183.0606
29,b,237.71,157.3802
29,s,266.74,175.3788
29,t,263.19,173.1778
30,b,250.345,165.2139
30,s,327.03428571428566,212.76125714285712
30,t,262.7,172.874
31,b,288.95000000000005,189.14900000000003
31,s,296.34000000000003,193.73080000000002
31,t,317.0366666666667,206.56273333333334
32,b,345.645,224.29989999999998
32,s,357.45428571428573,231.62165714285715
32,t,366.08,236.96959999999999
33,b,341.885,221.96869999999998
33,s,345.405,224.15109999999999
33,t,359.45,232.85899999999998
34,b,223.43,148.5266
34,s,254.38666666666663,167.7197333333333
34,t,246.96,163.11520000000002
35,b,268.78,176.6436
35,s,327.39833333333337,212.9869666666667
35,t,295.51,193.2162
36,b,187.47,126.2314
36,s,226.47,150.4114
36,t,209.06,139.6172
37,b,195.3,131.086
37,s,201.28833333333333,134.79876666666667
37,t,198.13,132.8406
38,b,243.3,160.846
38,s,263.5628571428571,173.40897142857142
38,t,272.42,178.90040000000002
39,b,189.59,127.5458
39,s,221.20166666666668,147.14503333333334
39,t,195.87,131.4394
40,b,365.66,236.7092
40,s,383.1566666666667,247.55713333333335
40,t,410.19,264.31780000000003
41,b,241.61,159.7982
41,s,247.34,163.3508
41,t,254.27,167.6474
42,b,454.19,291.5978
42,s,504.67285714285714,322.8971714285714
42,t,491.56,314.7672
43,b,222.45,147.91899999999998
43,s,237.2342857142857,157.08525714285713
43,t,234.38,155.3156
44,b,272.065,178.6803
44,s,274.7557142857143,180.34854285714286
44,t,291.99,191.0338
45,b,248.37,163.9894
45,s,303.02833333333336,197.8775666666667
45,t,281.35,184.437
46,b,323.29,210.43980000000002
46,s,338.8157142857143,220.06574285714288
46,t,350.6,227.372
47,b,298.1,194.822
47,s,350.2716666666667,227.16843333333335
47,t,347.91,225.70420000000001
48,b,219.05,145.811
48,s,230.64142857142855,152.9976857142857
48,t,233.19,154.5778
49,b,265.045,174.3279
49,s,280.0566666666667,183.63513333333333
49,t,290.245,189.9519
50,b,251.74,166.0788
50,s,240.88285714285715,159.34737142857142
50,t,238.31,157.7522
51,b,243.39,160.90179999999998
51,s,253.05428571428573,166.89365714285714
51,t,259.49,170.8838
52,b,245.88,162.44559999999998
52,s,244.51875,161.601625
52,t,262.79,172.9298
53,b,255.45,168.379
53,s,248.18285714285716,163.87337142857143
53,t,235.23,155.8426
54,b,212.3,141.626
54,s,250.8957142857143,165.55534285714285
54,t,226.09,150.1758
55,b,262.02,172.45239999999998
55,s,270.05555555555554,177.43444444444444
55,t,277.52,182.0624
56,b,166.98,113.52759999999999
56,s,199.18125,133.49237499999998
56,t,167.19,113.6578
57,b,202.72,135.6864
57,s,231.49875,153.529225
57,t,212.13,141.5206
58,b,209.38,139.8156
58,s,229.38857142857145,152.2209142857143
58,t,223.4,148.508
59,b,147.41,101.3942
59,s,142.24625,98.19267500000001
59,t,149.6,102.752
60,b,182.78,123.3236
60,s,196.39555555555555,131.76524444444442
60,t,191.28,128.59359999999998
61,b,197.73,132.5926
61,s,197.37285714285716,132.37117142857142
61,t,202.93666666666664,135.8207333333333
62,b,232.1,153.902
62,s,237.2211111111111,157.07708888888888
62,t,243.95,161.249
63,b,146.5,100.83
63,s,181.4788888888889,122.51691111111111
63,t,131.325,91.4215
64,b,117.47,82.8314
64,s,117.63857142857144,82.93591428571429
64,t,116.98,82.5276
65,b,101.86,73.1532
65,s,114.98833333333332,81.29276666666665
65,t,102.545,73.5779
66,b,90.515,66.11930000000001
66,s,92.40666666666668,67.29213333333334
66,t,95.01,68.90620000000001
67,b,106.15,75.813
67,s,117.01125,82.546975
67,t,108.4,77.208
68,b,86.43,63.586600000000004
68,s,98.3125,70.95375
68,t,89.89,65.73179999999999
69,b,311.07,202.86339999999998
69,s,312.87,203.9794
69,t,316.655,206.32609999999997
70,b,211.14,140.9068
70,s,236.97142857142856,156.92228571428572
70,t,231.17,153.3254
71,b,167.51,113.85619999999999
71,s,175.04,118.5248
71,t,168.61,114.5382
72,b,210.01,140.2062
72,s,228.2328571428572,151.50437142857146
72,t,220.82,146.9084
73,b,179.53,121.3086
73,s,179.47142857142856,121.2722857142857
73,t,182.04,122.86479999999999
74,b,134.65,93.483
74,s,140.7825,97.28515
74,t,136.915,94.8873
75,b,199.08,133.4296
75,s,197.92,132.7104
75,t,206.82,138.2284
76,b,269.71,177.22019999999998
76,s,316.31625,206.11607500000002
76,t,324.26,211.0412
77,b,276.06,181.1572
77,s,277.65166666666664,182.1440333333333
77,t,302.03,197.25859999999997
78,b,243.47,160.9514
78,s,267.69777777777773,175.97262222222218
78,t,261.645,172.2199
79,b,279.655,183.38609999999997
79,s,304.73,198.9326
79,t,301.86,197.1532
80,b,273.7,179.694
80,s,338.94166666666666,220.14383333333333
80,t,317.61,206.9182
81,b,210.905,140.7611
81,s,207.90625,138.901875
81,t,217.045,144.56789999999998
82,b,186.73,125.7726
82,s,235.765,156.1743
82,t,197.76,132.6112
83,b,197.35,132.357
83,s,259.24875000000003,170.734225
83,t,209.65,139.983
84,b,248.92,164.3304
84,s,265.68571428571425,174.72514285714283
84,t,257.34,169.55079999999998
85,b,181.42,122.48039999999999
85,s,177.0257142857143,119.75594285714286
85,t,187.62,126.3244
86,b,128.09,89.4158
86,s,150.1377777777778,103.08542222222225
86,t,112.82,79.94839999999999
87,b,213.295,142.2429
87,s,254.02142857142852,167.4932857142857
87,t,249.305,164.5691
88,b,208.85,139.487
88,s,268.23375,176.304925
88,t,240.87,159.3394
89,b,250.46,165.2852
89,s,292.29285714285714,191.22157142857142
89,t,273.83,179.7746
90,b,195.25,131.055
90,s,196.78714285714287,132.00802857142858
90,t,206.51,138.03619999999998
91,b,278.39,182.6018
91,s,295.1271428571428,192.97882857142855
91,t,286.65,187.72299999999998
92,b,190.64,128.1968
92,s,217.32142857142856,144.7392857142857
92,t,206.16,137.8192
93,b,297.11,194.2082
93,s,299.0785714285715,195.4287142857143
93,t,314.54,205.0148
94,b,252.06,166.2772
94,s,272.5,178.95
94,t,281.07,184.2634
95,b,154.31,105.6722
95,s,225.82333333333332,150.01046666666667
95,t,167.3,113.72600000000001
96,b,199.44,133.6528
96,s,215.2,143.42399999999998
96,t,195.64,131.2968
97,b,139.27,96.34740000000001
97,s,156.895,107.2749
97,t,149.02,102.39240000000001
98,b,272.55,178.981
98,s,285.9375,187.28125
98,t,298.85,195.287
99,b,218.27,145.3274
99,s,220.3325,146.60615
99,t,233.585,154.8227
100,b,149.24,102.5288
100,s,140.96,97.3952
100,t,149.48,102.6776
