apple_number,s,t,b
1,87.1714,88.3463,88.4114
3,111.8288,124.57954285714284,120.0376
4,186.2722,186.6814,182.5522
5,174.3,192.04794285714289,190.8168
6,270.2605,290.58565,285.3358
7,239.5426,252.80617142857145,259.178
8,120.1554,146.6325,132.97699999999998
9,180.531,218.7726,188.5538
10,202.572,204.58877142857148,216.429
11,241.0182,277.98363333333333,260.2754
12,127.3164,137.24348571428567,133.0638
13,143.9448,177.4673142857143,162.3774
14,124.0056,126.45017142857144,125.2084
15,250.2314,278.4114333333333,260.5358
16,158.9426,168.60468,185.6088
17,167.1762,207.450625,190.2278
18,149.4256,161.94856666666666,156.1712
19,167.7652,175.943775,178.53459999999998
20,136.0491,150.3184,129.34070000000003
21,203.7655,207.5943647058824,216.8537
22,122.964,127.13177777777778,124.1358
23,171.32399999999998,176.9961142857143,200.03
24,142.0538,159.29367499999998,153.3998
25,168.7696,182.9419142857143,185.0942
26,117.9978,125.0348,127.6884
27,211.4938,219.79205714285712,237.8252
28,167.8582,178.32468571428572,183.0606
29,157.3802,175.3788,173.1778
30,165.2139,212.76125714285712,172.874
31,189.14900000000003,193.7308,206.5627333333333
32,224.2999,231.62165714285717,236.9696
33,221.9687,224.1511,232.859
34,148.5266,167.7197333333333,163.11520000000002
35,176.6436,212.9869666666667,193.2162
36,126.2314,150.4114,139.6172
37,131.086,134.7987666666667,132.8406
38,160.846,173.40897142857142,178.90040000000002
39,127.5458,147.14503333333334,131.4394
40,236.7092,247.55713333333333,264.31780000000003
41,159.7982,163.3508,167.6474
42,291.5978,322.8971714285714,314.7672
43,147.91899999999998,157.08525714285713,155.3156
44,178.6803,180.3485428571429,191.0338
45,163.9894,197.8775666666667,184.437
46,210.4398,220.06574285714288,227.372
47,194.822,227.16843333333333,225.7042
48,145.811,152.9976857142857,154.5778
49,174.3279,183.63513333333333,189.9519
50,166.0788,159.34737142857142,157.7522
51,160.90179999999998,166.89365714285714,170.8838
52,162.44559999999998,161.601625,172.9298
53,168.379,163.87337142857143,155.8426
54,141.626,165.55534285714285,150.1758
55,172.45239999999998,177.43444444444444,182.0624
56,113.5276,133.49237499999998,113.6578
57,135.6864,153.529225,141.5206
58,139.8156,152.2209142857143,148.508
59,101.3942,98.192675,102.752
60,123.3236,131.76524444444442,128.59359999999998
61,132.5926,132.37117142857142,135.8207333333333
62,153.902,157.07708888888888,161.249
63,100.83,122.51691111111111,91.4215
64,82.8314,82.93591428571429,82.5276
65,73.1532,81.29276666666665,73.5779
66,66.11930000000001,67.29213333333334,68.90620000000001
67,75.813,82.546975,77.208
68,63.5866,70.95375,65.73179999999999
69,202.8634,203.9794,206.3261
70,140.9068,156.92228571428572,153.3254
71,113.8562,118.5248,114.5382
72,140.2062,151.50437142857146,146.9084
73,121.3086,121.2722857142857,122.8648
74,93.483,97.28515,94.8873
75,133.4296,132.7104,138.2284
76,177.22019999999998,206.116075,211.0412
77,181.1572,182.1440333333333,197.2586
78,160.9514,175.97262222222218,172.2199
79,183.3861,198.9326,197.1532
80,179.694,220.14383333333333,206.9182
81,140.7611,138.901875,144.56789999999998
82,125.7726,156.1743,132.6112
83,132.357,170.734225,139.983
84,164.3304,174.72514285714283,169.55079999999998
85,122.4804,119.75594285714286,126.3244
86,89.4158,103.08542222222223,79.94839999999999
87,142.2429,167.4932857142857,164.5691
88,139.487,176.304925,159.3394
89,165.2852,191.22157142857145,179.7746
90,131.055,132.00802857142858,138.03619999999998
91,182.6018,192.97882857142852,187.723
92,128.1968,144.7392857142857,137.8192
93,194.2082,195.4287142857143,205.0148
94,166.2772,178.95,184.2634
95,105.6722,150.01046666666667,113.726
96,133.6528,143.42399999999998,131.2968
97,96.3474,107.2749,102.3924
98,178.981,187.28125,195.287
99,145.3274,146.60615,154.8227
100,102.5288,97.3952,102.6776
